Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C10,10p,C_0402_1005Metric,180.77,-88.3,180.0,top
C11,4u7,C_0402_1005Metric,192.5,-96.02,-90.0,top
C12,0u1,C_0402_1005Metric,183.5,-82.32,90.0,top
C13,0u1,C_0402_1005Metric,196.925,-84.18,-90.0,top
C14,10n,C_0402_1005Metric,182.8975,-76.25,0.0,top
C15,0u1,C_0402_1005Metric,186.77,-95.5,180.0,top
C16,0u1,C_0402_1005Metric,185.52,-80.2,0.0,top
C17,0u1,C_0402_1005Metric,194.25,-94.02,-90.0,top
C18,4u7,C_0402_1005Metric,185.5,-79.2,0.0,top
C19,0u1,C_0402_1005Metric,184.8575,-76.25,180.0,top
C2,220uF,C_Radial_D6.3mm_H11.0mm_P2.50mm,167.0,-69.75,90.0,top
C20,2u2,C_0402_1005Metric,184.8575,-77.25,180.0,top
C3,22uF,C_Radial_D5.0mm_H5.0mm_P2.00mm,176.25,-110.0,-90.0,top
C4,10n,C_0402_1005Metric,188.98,-95.5,0.0,top
C5,0u1,C_0402_1005Metric,178.98,-89.8,180.0,top
C6,2u2,C_0402_1005Metric,180.75,-90.0,90.0,top
C7,22uF,C_Radial_D5.0mm_H5.0mm_P2.00mm,170.5,-95.0,90.0,top
C8,0u1,C_0402_1005Metric,181.75,-89.98,90.0,top
C9,10p,C_0402_1005Metric,180.75,-83.05,0.0,top
D1,11DQ05,D_DO-41_SOD81_P7.62mm_Horizontal,184.5,-101.0,0.0,top
D2,11DQ05,D_DO-41_SOD81_P7.62mm_Horizontal,178.81,-94.75,180.0,top
D3,11DQ05,D_DO-41_SOD81_P7.62mm_Horizontal,174.94,-80.5,0.0,top
D4,RED,LED_D5.0mm_Clear,173.25,-74.48,90.0,top
D5,11DQ05,D_DO-41_SOD81_P7.62mm_Horizontal,172.44,-90.25,0.0,top
D6,GREEN,LED_D5.0mm_Clear,196.25,-98.27,90.0,top
J1,Conn_01x04_Pin,PinHeader_1x04_P2.54mm_Vertical,201.5,-96.02,180.0,top
J2,Conn_01x04_Pin,PinHeader_1x04_P2.54mm_Vertical,197.81,-79.0,90.0,top
J3,Conn_01x04_Pin,PinHeader_1x04_P2.54mm_Vertical,188.48,-69.75,90.0,top
J4,Conn_01x04_Pin,PinHeader_1x04_P2.54mm_Vertical,184.73,-106.0,90.0,top
J5,Conn_01x04_Pin,PinHeader_1x04_P2.54mm_Vertical,184.73,-111.08,90.0,top
J6,Conn_01x02_Pin,PinHeader_1x02_P2.54mm_Vertical,198.23,-103.5,-90.0,top
J7,Conn_01x04_Pin,PinHeader_1x04_P2.54mm_Vertical,193.0,-107.44,180.0,top
J8,Conn_01x04_Socket,PinHeader_1x04_P2.54mm_Vertical,191.02,-73.5,-90.0,top
J9,USB_OTG,USB_Micro-B_Amphenol_10118193-0001LF_Horizontal,201.05,-85.45,90.0,top
L1,330uH,L_Axial_L5.3mm_D2.2mm_P7.62mm_Horizontal_Vishay_IM-1,168.25,-78.75,-90.0,top
Q1,2N2907_PNP,TO-92,175.615,-99.73,90.0,top
Q2,2N222A_NPN,TO-92,172.615,-85.25,-90.0,top
Q3,IRF9540N,TO-220-3_Vertical,163.805,-91.5,-90.0,top
R1,10k,R_0402_1005Metric,174.99,-104.75,180.0,top
R10,10k,R_0402_1005Metric,180.9525,-73.8475,90.0,top
R11,4k7,R_0402_1005Metric,187.74,-78.75,180.0,top
R13,470,R_0402_1005Metric,195.5,-106.49,-90.0,top
R2,10k,R_0402_1005Metric,175.99,-85.5,180.0,top
R3,1k5,R_0402_1005Metric,183.0,-97.49,-90.0,top
R4,10k,R_0402_1005Metric,168.49,-87.5,0.0,top
R5,1k5,R_0402_1005Metric,177.0,-76.51,-90.0,top
R6,10k,R_0402_1005Metric,187.97,-97.5,0.0,top
R7,1k5,R_0402_1005Metric,188.99,-96.5,180.0,top
R8,10k,R_0402_1005Metric,177.99,-71.5,0.0,top
R9,4k7,R_0402_1005Metric,190.49,-77.5,0.0,top
SW1,SW_Push,SW_PUSH_6mm,168.5,-109.25,0.0,top
SW2,SW_Push,SW_PUSH_6mm,168.5,-101.5,180.0,top
SW3,SW_SPDT,CUS-12TB_NDC,175.14998,-68.371449,180.0,top
U1,LM2574M-3.3,SOIC-14W_7.5x9mm_P1.27mm,161.96,-79.85,-90.0,top
U2,STM32F401RCT6,LQFP-64_10x10mm_P0.5mm,189.5,-87.8,0.0,top
U3,~,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,183.29,-74.0875,0.0,top
Y1,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,180.9,-85.7,-90.0,top
